,THING_ID,RA,DEC,Z_VI,BAL_FLAG_VI
115265,343328414,160.25390838549058,26.792369658933932,2.8199567794799805,0
115273,328963274,160.2581767678857,24.968923668295457,1.9740853309631348,0
115274,305414915,160.2591873565917,22.175259987922985,2.5375421047210693,0
115275,350210154,160.25995024795446,27.525233705649676,2.1497750282287598,0
115281,427551210,160.26109808171063,39.000306118168766,2.4698994159698486,0
115282,380495128,160.26120104540897,31.53189675303358,2.4449641704559326,0
115285,325147314,160.26181651449582,24.60759574427909,0.5758074522018433,0
115286,352093896,160.26227211934503,27.88093099772791,2.589,0
115289,327040957,160.263521598625,24.7815447597458,0.4074283838272095,0
115295,332473432,160.26627800104717,25.346372922716306,2.2614285945892334,0
115297,431440450,160.26778953484978,39.58699653161251,2.237,0
115300,432649135,160.2694711752942,39.887632862128896,0.6935517191886902,0
115306,386283910,160.27472473624613,32.255493660970586,1.975,0
115311,309072977,160.27601474619695,22.599574142117433,2.354,0
115317,321425345,160.28019658848666,24.031837330160734,1.002165675163269,0
115323,328963456,160.2829000947823,24.955867676677588,2.4854350090026855,0
115330,355634247,160.28536189333454,28.135500481505755,1.1632972955703735,0
115331,355634692,160.28600530751498,28.272096991610844,3.2181928157806396,0
115333,387665123,160.28641200400529,32.62264477232804,2.1966617107391357,0
115334,428755905,160.28740373840827,39.15761912811487,1.127,0
115336,309073008,160.2880757520261,22.73841534198753,0.9542388319969177,0
115345,330814866,160.29314588958772,25.18005192961746,2.278306484222412,0
115347,389182560,160.2933320654687,32.8171562021592,2.9156088829040527,0
115351,323482306,160.29590796257474,24.30194562173023,2.169275999069214,0
115358,317863333,160.30219651603608,23.739117018817943,2.4321372509002686,0
115361,400476764,160.3032703917982,34.49607508966596,3.346231460571289,0
115382,319674859,160.31233374603036,23.907191420029793,2.607605457305908,0
115384,293130157,160.31366213316562,20.701453180631432,2.212759256362915,0
115390,316123855,160.31816987712222,23.5439495587453,2.37,0
115395,316123838,160.32051433285176,23.565426851359714,2.375241279602051,0
115396,327283910,160.32102620908842,24.868542680694965,2.2291932106018066,0
115402,303681433,160.323443141821,21.963074351704414,3.114,0
115411,375752296,160.327736020908,30.914519608835363,1.4534821510314941,0
115413,316123841,160.3300839293546,23.595232039769726,1.212,0
115422,355634534,160.3357480229377,28.152580203469178,1.485,0
115424,348747035,160.33676024052463,27.38563577334331,4.845093250274658,0
115428,396450149,160.33796035177778,33.817119310827714,4.121,0
115429,408348581,160.3382742180455,35.81264145480638,0.7002469897270203,0
115430,309072619,160.33839787985443,22.655478825763783,3.412055492401123,0
115431,408348942,160.3387947689809,35.87266096364112,2.377,0
115435,312501308,160.3401573262918,23.028549726638573,2.9029653072357178,0
115436,316123865,160.3408936918978,23.54231467353509,2.380289077758789,0
115441,386533733,160.34464245947947,32.41215231237738,2.892735719680786,0
115444,381950249,160.3486003226556,31.771822263754977,2.808,0
115452,355634598,160.35108451143833,28.21802108709571,2.2047786712646484,0
115459,411229658,160.35602547616284,36.3396054842179,0.6774668097496033,0
115461,330814579,160.3572206171616,25.1331553558826,1.0869574546813965,0
115464,343577538,160.3587230007137,26.731646785466726,0.798,0
115465,305622998,160.3591203882488,22.280918866335423,2.5359280109405518,0
115466,404447006,160.3600634832728,35.16789134284536,2.5653514862060547,0
115471,338077626,160.3652506702772,26.038445691451873,2.449054002761841,0
115472,352349722,160.36549857215584,27.759512189073483,1.6989939212799072,0
115473,367742687,160.36611052155564,29.658049372986632,2.618,0
115478,372794540,160.36796908353358,30.471098169903982,3.22,0
115480,366103670,160.36927554442158,29.459096053678596,1.4774786233901978,0
115482,332733309,160.36951108661137,25.36088064185015,0.7425592541694641,0
115487,345194566,160.3725557755813,26.859372325142665,0.9600290060043335,0
115488,314401255,160.37322612136603,23.26281383593845,2.394158124923706,0
115492,323481944,160.37418853959798,24.41444717903036,2.27,0
115499,310779032,160.37725690384502,22.810114447265658,1.975,0
115501,291560070,160.37762188409644,20.604451791565914,2.311,0
115512,312704483,160.38335212530973,23.122789358387138,1.755,0
115514,372794526,160.3845153558267,30.387868262099623,0.5050051808357239,0
115518,426334702,160.3853160684995,38.70763355604589,2.4261651039123535,0
115519,427551619,160.38586246733658,39.007676460221276,2.2764229774475098,0
115530,390798608,160.3897376088625,33.06402845215273,2.9936349391937256,0
115533,339955090,160.39135626716316,26.318422221457052,0.6506184935569763,0
115540,422077470,160.39430810686883,38.077723902609634,0.6081137657165527,0
115542,360869248,160.39520307126753,28.81097533339657,2.2828824520111084,0
115544,323482067,160.39568851735675,24.291352443064433,4.664620876312256,0
115545,366103679,160.39611464921927,29.496537247583795,2.3974239826202393,0
115547,404447399,160.3963710876082,35.21740301371089,3.897854804992676,0
115548,300201726,160.39691931951165,21.49408502825368,0.8309032917022705,0
115550,345463026,160.39855631540672,27.037922473202386,2.8333568572998047,0
115562,399234728,160.40445962715694,34.408979313312706,2.424,0
115563,372794648,160.40476279469925,30.43023370686781,2.66013765335083,0
115564,369507362,160.40573366878846,29.967529442926672,0.7385633587837219,0
115565,352350127,160.40700550641498,27.853301671020976,3.565,0
115569,303883963,160.41092525554365,21.93838735543504,1.033410906791687,0
115572,374395399,160.41394885837687,30.680352841832494,1.7778059244155884,0
115577,415328654,160.41525086267438,36.99046521005425,0.8096256852149963,0
115595,357610360,160.42488687361674,28.530096758101394,2.415,0
115597,389433042,160.42574162425848,32.90629721165496,3.058988094329834,0
115602,403226094,160.4302101021123,34.941810747472715,2.3590786457061768,0
115605,343577214,160.43084759267663,26.82040695082799,2.78401780128479,0
115607,371177494,160.43155821931256,30.225857942042254,2.3834381103515625,0
115611,303884016,160.43294736314158,21.9899878660753,2.559,0
115614,331058324,160.4337294152577,25.246324228653794,2.387624979019165,0
115615,384986549,160.43396437307328,32.133137027177916,0.7221366167068481,0
115621,354054454,160.43629910239687,28.09388184649709,2.5918171405792236,0
115627,387881837,160.4399340919897,32.591502857709735,1.6579325199127197,0
115629,310976624,160.44055998077204,22.882860178846197,1.962,0
115630,386533984,160.44242751522728,32.471862407042714,2.502,0
115632,321626186,160.4430842974931,24.086866061439647,3.3297536373138428,0
115635,367973420,160.44583336544378,29.81016300381229,1.608756184577942,0
115636,379126799,160.44787393195722,31.372324081991504,2.3649110794067383,0
115638,310976092,160.44872328519614,22.85993938727297,2.635578155517578,0
115642,420744530,160.44962851184664,37.86046616276479,2.3846824169158936,0
115643,362876963,160.44974559743497,29.040030954860992,0.6956135630607605,0
115644,319875088,160.45013951844317,23.851202438414955,2.521636486053467,0
115647,394890638,160.45046657728324,33.57700412768408,0.8381627202033997,0
115648,426335117,160.45111611783616,38.761301153278765,2.2632081508636475,0
115650,323706105,160.45258606788474,24.34646205140025,0.7709612250328064,0
115652,361130569,160.4535022596356,28.908328943045486,2.1,0
115655,352349980,160.45481934263327,27.787037158669843,1.5273573398590088,0
115656,400737773,160.45483711438328,34.65640218745577,2.384,0
115659,325394637,160.45593667269173,24.59765100482097,3.66815447807312,0
115660,334826360,160.45643133376694,25.743825729325348,0.7311153411865234,0
115663,354054408,160.45776743775002,28.007311386809704,2.668,0
115665,314607438,160.45816659258736,23.334210815690692,1.538,0
115666,380750041,160.4583405207922,31.484504893658578,1.3072460889816284,0
115667,425105403,160.45862307629324,38.5727298164942,2.2082669734954834,0
115668,393628278,160.45886518534292,33.43409687057491,2.359997272491455,0
115675,347137520,160.46105341161945,27.09211195445763,2.5483572483062744,0
115676,316347395,160.46118903203177,23.535546843327324,2.3753559589385986,0
115679,319875185,160.46315651741565,23.87448248736934,3.185,0
115684,420744591,160.46572390743955,37.830700390937814,3.0247251987457275,0
115685,338316458,160.46611565108446,26.02808245152537,0.6452047228813171,0
115693,296770637,160.46983727526106,21.17418873838594,2.4811513423919678,0
115696,418040725,160.47300935053403,37.47228767875593,2.411968946456909,0
115697,430482198,160.47317049573633,39.51068321426616,2.745811700820923,0
115700,369775039,160.47642247555177,30.040707334949136,1.0973384380340576,0
115702,291560414,160.47779362064657,20.515835946833924,2.396226406097412,0
115707,416660457,160.47913265934085,37.25498947000634,0.7265298962593079,0
115708,343834535,160.47931653352327,26.680845360372434,2.565864086151123,0
115710,386533983,160.4797548624722,32.30711690584295,2.4227304458618164,0
115712,288110678,160.4815027675486,20.13104943978208,2.6803030967712402,0
115714,408554948,160.48226159626284,35.868589120364874,2.2632973194122314,0
115715,400737778,160.48409001942065,34.60916429232416,2.198,0
115716,392078957,160.48459979552638,33.15612631977628,2.3231661319732666,0
